주차장명,위도,경도
초안산근린공원주차장(구),37.64927895,127.0404744
마들스타디움(근린공원)(구),37.64391748,127.0585674
마장동(건물) 공영주차장(구),37.56993875,127.0351452
영등포여고 공영(구),37.51520496,126.915116
당산근린공원 공영(구),37.52552609,126.8957941
대림운동장(구),37.49965667,126.8948384
휘경마을 공영주차장(구),37.5880691,127.0580933
중산공영주차장(구),37.56867158,127.0589207
방학동 도깨비시장 공영주차장(구),37.6645806,127.0339057
은평평화공원(구),37.60573659,126.9231083
압구정 428 공영주차장(구),37.52701729,127.0264712
신림동공영주차장(구),37.48736246,126.9234342
포이초교 공영주차장(구),37.47564571,127.052365
수유2동 공영주차장(구),37.64603214,127.0219081
송중동(임시)공영주차장(구),37.61105539,127.0334978
바람개비주차장(구),37.53033824,126.8742749
구로디지털단지역 공영주차장(시),37.48543179,126.9012433
상계2동 공영주차장(구),37.6567376,127.067531
논현로22길(시),37.48150119,127.0478133
신당동 공영주차장(구),37.56204618,127.0144272
남산동 공영주차장(구),37.55923691,126.985624
충현어린이공원 공영주차장(구),37.55208362,127.0051946
불암산 공영주차장(구),37.66192599,127.0793403
역삼1문화센터 공영주차장(구),37.49534845,127.0332376
언북초교 공영주차장(구),37.51999434,127.0456589
삼성1문화센터 공영주차장(구),37.51434435,127.0626519
논현초교 공영주차장(구),37.50822463,127.0262625
언주초 공영주차장(구),37.48664435,127.0370504
연광초교지하공동주차장(구),37.62387156,126.9242215
구파발역 공영주차장(시),37.63800702,126.9193218
살곶이(평면) 공영주차장(구),37.55384954,127.0482917
응봉역공영주차장(구),37.55039155,127.0344811
마장축산물시장(건물) 공영주차장(구),37.571538,127.039926
볏골공원 지하공영주차장(구),37.54149243,126.844396
한누리(구),37.47743578,126.9770784
동작주차공원(구),37.50309257,126.9782686
신사동 제1공영주차장(구),37.48444431,126.915461
길음역환승주차장(구),37.60423761,127.0258183
잠원동방음언덕형공영주차장(구),37.51638775,127.0163891
반포2동 공영주차장(구),37.50421414,126.9954231
반포서래공영주차장[서래마을 3호점](구),37.49814931,126.9978319
청계산 청룡주차장(구),37.44657405,127.0598862
봉천복개3 공영주차장(시),37.48800038,126.9315393
독산동 금천교 공영주차장(시),37.46658707,126.8898868
신답고가 주변(구),37.57023162,127.050032
